Website,Timestamp,BYPASS_PROXY_1 Result,BYPASS_PROXY_1 Start Time,BYPASS_PROXY_1 Failure Time,BYPASS_PROXY_2 Result,BYPASS_PROXY_2 Start Time,BYPASS_PROXY_2 Failure Time,BYPASS_PROXY_3 Result,BYPASS_PROXY_3 Start Time,BYPASS_PROXY_3 Failure Time,QUIC_PROXY_1 Result,QUIC_PROXY_1 Start Time,QUIC_PROXY_1 Failure Time,QUIC_PROXY_2 Result,QUIC_PROXY_2 Start Time,QUIC_PROXY_2 Failure Time,QUIC_PROXY_3 Result,QUIC_PROXY_3 Start Time,QUIC_PROXY_3 Failure Time
imgur,06-03 21:22:49,False,06-03 21:22:50,77.20594930648804,False,06-03 21:24:10,75.37853789329529,False,06-03 21:25:29,75.88712906837463,False,06-03 21:26:48,11.657600164413452,False,06-03 21:27:03,11.388177156448364,True,06-03 21:27:17,16.24478530883789
imdb,06-03 21:27:36,False,06-03 21:27:37,82.37295889854431,True,06-03 21:29:02,406.0355770587921,True,06-03 21:35:51,188.34789204597473,False,06-03 21:39:03,10.620199918746948,False,06-03 21:39:17,10.621654748916626,True,06-03 21:39:31,36.151057958602905
naver,06-03 21:40:09,False,06-03 21:42:01,8.592452049255371,False,06-03 21:42:12,77.57169985771179,False,06-03 21:43:33,77.00009965896606,True,06-03 21:40:10,18.220451831817627,True,06-03 21:40:31,18.89332103729248,True,06-03 21:40:53,64.1570029258728
co,06-03 21:56:36,True,06-03 21:58:49,142.37287306785583,True,06-03 22:01:15,209.3978660106659,True,06-03 22:04:47,95.50710439682007,False,06-03 21:56:37,10.937515020370483,True,06-03 21:56:51,55.421282052993774,True,06-03 21:57:49,56.62129497528076
popads,06-03 22:06:25,False,06-03 22:07:01,226.8841631412506,True,06-03 22:10:51,157.72144103050232,True,06-03 22:13:32,81.91906189918518,True,06-03 22:06:26,11.421636819839478,True,06-03 22:06:41,7.11802077293396,True,06-03 22:06:51,7.071393966674805
github,06-03 22:14:56,False,06-03 22:16:06,151.948637008667,True,06-03 22:18:41,25.1842679977417,True,06-03 22:19:09,23.190236806869507,False,06-03 22:14:57,10.59225606918335,True,06-03 22:15:11,26.47102689743042,True,06-03 22:15:40,22.103559255599976
pornhub,06-03 22:19:34,True,06-03 22:21:28,92.61155891418457,False,06-03 22:23:04,75.63357019424438,False,06-03 22:24:23,75.35702896118164,True,06-03 22:19:35,19.652934074401855,True,06-03 22:19:58,32.43939995765686,True,06-03 22:20:34,51.3336820602417
ok,06-03 22:25:40,True,06-03 22:25:41,183.34161806106567,True,06-03 22:28:48,230.1642279624939,True,06-03 22:32:41,29.4020574092865,False,06-03 22:33:14,10.732002973556519,False,06-03 22:33:28,10.65628695487976,False,06-03 22:33:41,10.615893840789795
amazon,06-03 22:33:54,True,06-03 22:45:26,97.71827507019043,True,06-03 22:47:06,62.34950876235962,False,06-03 22:48:12,79.12794518470764,True,06-03 22:33:55,69.17013621330261,False,06-03 22:35:08,600.0304169654846,False,06-03 22:45:11,11.63172197341919
office,06-03 22:49:33,False,06-03 22:50:13,80.29978799819946,False,06-03 22:51:36,76.2930281162262,False,06-03 22:52:56,76.07044100761414,False,06-03 22:49:34,10.762526035308838,True,06-03 22:49:48,9.620245933532715,True,06-03 22:50:01,8.415837049484253
